Date,PCI,MCI,FMC
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,1,0
2020-04-03,1,1,0
2020-04-04,1,1,0
2020-04-05,5,5,0
2020-04-06,6,7,0
2020-04-07,9,9,0
2020-04-08,23,11,0
2020-04-09,23,11,1
2020-04-10,23,15,2
2020-04-11,38,17,5
2020-04-12,72,47,7
2020-04-13,74,48,7
2020-04-14,132,92,13
2020-04-15,149,217,78
2020-04-16,179,365,100
2020-04-17,202,1057,101
2020-04-18,384,1828,103
2020-04-19,1163,1950,104
2020-04-20,1536,2011,107
2020-04-21,1555,2011,108
2020-04-22,1558,2026,108
2020-04-23,1563,2028,110
2020-04-24,1563,2028,110
2020-04-25,1564,2028,114
2020-04-26,1525,1992,110
2020-04-27,1485,1976,108
2020-04-28,1477,1940,108
2020-04-29,1473,1935,165
2020-04-30,1467,2016,127
2020-05-01,1456,1999,137
2020-05-02,1456,1749,139
2020-05-03,1554,1746,140
2020-05-04,1546,1529,125
2020-05-05,80,169,60
